keys,en,de,ru
MINER_NAME_05,Raster Handler,Raster-Handler,Растровый Обработчик
MINER_NAME_06,Color Press,Farbpresse,Цветовой Пресс
MINER_NAME_07,Pixel Press,Pixelpresse,Пиксельный Пресс
MINER_NAME_08,Image Filter,Bildfilter,Изображательный Фильтр
MINER_NAME_09,Graphics Amplifier,Grafikverstärker,Графический Усилитель
MINER_NAME_10,Pixel Booster,Pixel-Booster,Пиксельный Усилитель
MINER_NAME_11,Digital Recycler,Digitaler Recycler,Цифровой Переработчик
MINER_NAME_12,Pixel Handler,Pixel-Handler,Пиксельный Обработчик
MINER_NAME_13,Fine Transformer,Feiner Transformator,Изображательный Трансформатор
MINER_NAME_14,Graphic Filter,Grafikfilter,Графический Фильтр
MINER_NAME_15,Pixel Filter,Pixelfilter,Пиксельный Фильтр
MINER_NAME_16,Color Changer,Farbwechsler,Цветовой Изменитель
MINER_NAME_17,Pixel Changer,Pixelwechsler,Пиксельный Изменитель
MINER_NAME_18,Fine Enhancer,Feiner Verstärker,Изображательный Улучшатель
MINER_NAME_19,Graphic Enhancer,Grafikverstärker,Графический Улучшатель
MINER_NAME_20,Pixel Enhancer,Pixel-Enhancer,Пиксельный Улучшатель
MINER_NAME_21,Digital Editor,Digitaler Redakteur,Цифровой Редактор
MINER_NAME_22,Pixel Editor,Pixel-Editor,Пиксельный Редактор
MINER_NAME_23,Image Editor,Bildeditor,Изображательный Редактор
MINER_NAME_24,Graphic Editor,Grafikeditor,Графический Редактор
MINER_NAME_25,Pixel Generator,Pixelgenerator,Пиксельный Генератор
MINER_NAME_26,Digital Generator,Digitaler Generator,Цифровой Генератор
MINER_NAME_27,Image Generator,Bildgenerator,Изображательный Генератор
MINER_NAME_28,Graphic Generator,Grafikgenerator,Графический Генератор
MINER_NAME_29,Pixel Transformer,Pixeltransformator,Пиксельный Трансформатор
MINER_NAME_30,Color Transformer,Farbtransformator,Цветовой Трансформатор
MINER_NAME_31,Pixel Updater,Pixel-Updater,Пиксельный Обновитель
MINER_NAME_32,Fine Renewal,Feine Erneuerung,Изображательный Обновитель
MINER_NAME_33,Graphics Updater,Grafik-Updater,Графический Обновитель
MINER_NAME_34,Pixel Converter,Pixelkonverter,Пиксельный Преобразователь
SAVE_PROGRESS_TEXT,The world has been restored to %d%%,Die Welt wurde auf %d%% wiederhergestellt,Мир востановлен на %d%%
STOP_MINER_TEXT,STOP,,ОСТАНОВИТЬ
